###   ###
অ   AO
ভেবে   BS EH B EH
ভেবেছি   BS EH B EH CHS IH
ভেবেছিল   BS EH B EH CHS IH L
ভেবেছিলাম   BS EH B EH CHS IH L AA M
ভেবেছিলেন   BS EH B EH CHS IH L EH N
ভেবেছেন   BS EH B EH CHS EH N
ভেবো   BS EH B OO
ভেরোনিকা   BS EH R OO N IH K AA
ভেলভেট   BS EH L BS EH T
ভেলোসিটি   BS EH L OO SH IH T IH
ভেল্লেরনির   BS EH L L EH R N IH R
ভেষজ   BS EH SH OO JH
ভেসে   BS EH SH EH
ভেসেই   BS EH SH EHY
ভেড়া   BS EH RH AA
ভেড়াতে   BS EH RH AA TT EH
ভেড়ানো   BS EH RH AA N OO
ভেড়ামারা   BS EH RH AA M AA R AA
ভৈরব   BS OI R OO B
ভোঁসলে   BS OO* SH L EH
ভোগ   BS OO G
ভোগএ   BS OO G EH
ভোগবাদিতা   BS OO G B AA DD IH TT AA
ভোগবাদিতাটা   BS OO G B AA DD IH TT AA T AA
ভোগাচ্ছিল   BS OO G AA CH CHS IH L
ভোগান্তি   BS OO G AA N TT IH
ভোগান্তির   BS OO G AA N TT IH R
ভোগে   BS OO G EH
ভোগেন   BS OO G EH N
ভোগের   BS OO G EH R
ভোট   BS OO T
ভোটও   BS OO T OO
ভোটগ্রহণ   BS OO T G R HH N
ভোটদান   BS OO T DD AA N
ভোটাধিকার   BS OO T AA DDS IH K AA R
ভোটার   BS OO T AA R
ভোটারদের   BS OO T AA R DD EH R
ভোটারের   BS OO T AA R EH R
ভোটে   BS OO T EH
ভোটেও   BS OO T EH OO
ভোটের   BS OO T EH R
ভোর   BS OO R
ভোরবেলা   BS OO R B EH L AA
ভোরে   BS OO R EH
ভোরেই   BS OO R EHY
ভোরের   BS OO R EH R
ভোলা   BS OO L AA
ভোলানো   BS OO L AA N OO
ভোলাবেন   BS OO L AA B EH N
ভোলার   BS OO L AA R
ভোলে   BS OO L EH
ভোল্টেজ   BS OO L T EH JH
ভৌতবিজ্ঞান   BS OU TT B IH G G AA N
ভ্যা   BS AE
ভ্যাদোদারা   BS AE DD OO DD AA R AA
ভ্যাদোদারার   BS AE DD OO DD AA R AA R
ভ্যান   BS AE N
ভ্যাম্পায়ারস   BS AE M P AA Y AA R SH
ভ্যারাইটি   BS AE R AAY T IH
ভ্যালসাদের   BS AE L SH AA DD EH R
ভ্যালির   BS AE L IH R
ভ্যালু   BS AE L UH
ভ্যালেনটাইন   BS AE L EH N T AAY N
ভ্যালেন্টাইন   BS AE L EH N T AAY N
ভ্যালেন্টাইনদের   BS AE L EH N T AAY N DD EH R
ভ্যালেন্সিয়ায়   BS AE L EH N SH IH Y AAI 
ভ্র   BS R
ভ্রমণ   BS R OO M OO N
ভ্রমণের   BS R M N EH R
ভ্রমরগুঞ্জরণ   BS R M R G UH N JH R N
ভ্রাম্যমাণ   BS R AA M M M AA N
ভড়কে   BS RH K EH
ভয়   BS AO Y
ভয়ও   BS AO Y OO
ভয়ঙ্কর   BS AO Y OO NG K R
ভয়ঙ্করভাবে   BS Y NG K R BS AA B EH
ভয়টাও   BS Y T AA OO
ভয়মিশ্রিত   BS Y M IH SH R IH TT
ভয়ানক   BS Y AA N AO K
ভয়াবহ   BS Y AA B AO HH
ভয়াবহতা   BS Y AA B HH TT AA
ভয়ে   BS AO Y EH
ভয়ের   BS AO Y EH R
ভয়েস   BS AO Y EH SH
ম   M
মংলা   M NG L AA
মইনউদ্দিন   M IH N UH DD DD IH N
মইনুদ্দিন   M IH N UH DD DD IH N
মইনুল   M IH N UH L
মইর্যা   M IH R R AA
মঈন   M IH N
মঈনুদ্দিন   M IH N UH DD DD IH N
মঈনুল   M IH N UH L
মওকা   M OO K AA
মওকুফ   M OO K UH PS
মওদুদ   M OO DD UH DD
মকবুল   M K B UH L
মকসুদ   M K SH UH DD
মক্কা   M AO K K AA
মক্কায়   M AO K K AAI 
মখমল   M AO KS M AO L
মগ   M AO G
মগজ   M AO G OO JH
মগডালে   M G D AA L EH
মগ্ন   M G N OO
মঙ্গল   M NG G OO L
মঙ্গলজনক   M NG G L JH N K
মঙ্গলবার   M NG G L B AA R
মঙ্গলহোড়   M NG G L HH OO RH
মঙ্গলহোড়ের   M NG G L HH OO RH EH R
মঙ্গলের   M NG G L EH R
মঙ্গাপীড়িত   M NG G AA P IH RH IH TT
মঙ্গার   M AO NG G AA R
মজনু   M JH N UH
মজবুত   M JH B UH TT
মজলিসে   M JH L IH SH EH
মজা   M AO JH AA
মজাটাই   M JH AA T AA IH
মজাদার   M JH AA DD AA R
মজার   M AO JH AA R
মজিবর   M JH IH B AO R
মজিবরের   M JH IH B R EH R
মজুদ   M OO JH UH DD
মজুন্দাকান্দি   M JH UH N DD AA K AA N DD IH
মজুমদার   M JH UH M DD AA R
মজুমদারের   M JH UH M DD AA R EH R
মজুর   M OO JH UH R
মজুরদের   M JH UH R DD EH R
মজুররা   M JH UH R R AA
মজুরি   M JH UH R IH
মজুরিটাও   M JH UH R IH T AA OO
মজুরিবিষয়ক   M JH UH R IH B IH SH Y K
মজুরিবিহীন   M JH UH R IH B IH HH IH N
মজুরির   M JH UH R IH R
মঞ্চ   M N CH OO
মঞ্চনাটক   M N CH N AA T K
মঞ্চায়নটা   M N CH AA Y N T AA
মঞ্চে   M AO N CH EH
মঞ্চের   M AO N CH EH R
মঞ্জিল   M AO N JH IH L
মঞ্জু   M OO N JH UH
মঞ্জুর   M AO N JH UH R
মঞ্জুরি   M N JH UH R IH
মডার্নিজমের   M D AA R N IH JH M EH R
মডেম   M AO D EH M
মডেল   M AO D EH L
মডেলকে   M D EH L K EH
মডেলটিকে   M D EH L T IH K EH
মডেলিং   M D EH L IH NG
মডেলের   M D EH L EH R
মণ   M AO N
মণি   M OO N IH
মণিপুরীপাড়া   M N IH P UH R IH P AA RH AA
মণ্ডল   M N D OO L
মণ্ডলকে   M N D L K EH
মণ্ডলিভোগ   M N D L IH BS OO G
মণ্ডলীরও   M N D L IH R OO
মত   M AO TT OO
মতকে   M TT K EH
মতন   M AO TT OO N
মতপার্থক্য   M TT P AA R TTS K K
মতবাদটি   M TT B AA DD T IH
মতবাদটির   M TT B AA DD T IH R
মতবিনিময়   M TT B IH N IH M Y
মতলব   M AO TT L OO B
মতলবগামী   M TT L B G AA M IH
মতাদর্শ   M TT AA DD R SH
মতান্তরে   M TT AA N TT R EH
মতামত   M TT AA M AO TT
মতামতকে   M TT AA M TT K EH
মতিউর   M TT IH UH R
মতিঝিল   M TT IH JHS IH L
মতিঝিলের   M TT IH JHS IH L EH R
মতিন   M OO TT IH N
মতে   M AO TT EH
মতের   M AO TT EH R
মতো   M AO TT OO
মতোই   M TT OO IH
মত্স্য   M AO TT SH SH OO
মদদ   M AO DD OO DD
মদদদান   M DD DD DD AA N
মদদদানকারী   M DD DD DD AA N K AA R IH
মদদদানকারীকে   M DD DD DD AA N K AA R IH K EH
মদদদানকারীদের   M DD DD DD AA N K AA R IH DD EH R
মদদদানকারীর   M DD DD DD AA N K AA R IH R
মদিনা   M DD IH N AA
মদিনায়   M DD IH N AAI 
মদের   M AO DD EH R
মধু   M OO DDS UH
মধুচন্দ্রিমার   M DDS UH CH N DD R IH M AA R
মধুপ   M OO DDS UH P
মধুমাখা   M DDS UH M AA KS AA
মধুর   M OO DDS UH R
মধুরিম   M DDS UH R IH M
মধুসূদন   M DDS UH SH UH DD N
মধ্য   M DD DDS OO
মধ্যকার   M DDS JH K AA R
মধ্যপাইকপাড়া   M DD DDS P AAY K P AA RH AA
মধ্যপাদে   M DD DDS P AA DD EH
মধ্যবর্তী   M DD DDS B R TT IH
মধ্যবিত্ত   M DD DDS B IH TT TT
মধ্যবয়স্ক   M DD DDS B Y SH K
মধ্যভাগ   M DD DDS BS AA G
মধ্যরাতে   M DD DDS R AA TT EH
মধ্যরাতের   M DDS JH R AA TT EH R
মধ্যরেখা   M DD DDS R EH KS AA
মধ্যস্থতার   M DDS JH SH TTS TT AA R
মধ্যে   M AO DD DDS EH
মধ্যেই   M AO DD DDS EHY
মধ্যেও   M AO DD DDS EH OO
মধ্যেখানে   M DD DDS EH KS AA N EH
মধ্যেড   M AO DD DDS EH D
মন   M AO N
মনঃপূত   M N : P UH TT
মনকষাকষি   M N K SH AA K SH IH
মনকে   M N K EH
মনজুরুল   M N JH UH R UH L
মনটা   M N T AA
মনতন্ত্র   M N TT N TT R
মনদেহ   M N DD EH HH
মনপ্রাণ   M N P R AA N
মনমানসিকতা   M N M AA N SH IH K TT AA
মনমানসিকতার   M N M AA N SH IH K TT AA R
মনসুর   M N SH UH R
মনস্টার   M N SH T AA R
মনস্তাত্ত্বিক   M N SH TT AA TT TT IH K
মনাফ   M AO N AA PS
মনাফের   M N AA PS EH R
মনিকা   M N IH K AA
মনিটর   M N IH T AO R
মনিটরিং   M N IH T R IH NG
মনিটরের   M N IH T R EH R
মনির   M OO N IH R
মনিরুজ্জামান   M N IH R UH JH JH AA M AA N
মনিরুজ্জামানের   M N IH R UH JH JH AA M AA N EH R
মনিরুল   M N IH R UH L
মনীষা   M N IH SH AA
মনু   M OO N UH
মনুষ্যকণ্ঠের   M N UH SH JH K N TS EH R
মনুষ্যদেহ   M N UH SH SH DD EH HH
মনে   M AO N EH
মনেই   M N EHY
মনেও   M N EH OO
মনেপ্রাণে   M N EH P R AA N EH
মনের   M AO N EH R
মনেশ্বর   M N EH SH SH R
মনোজ   M AO N OO JH
মনোনিবেশ   M N OO N IH B EH SH
মনোনীত   M N OO N IH TT
মনোনয়ন   M N OO N Y N
মনোনয়নও   M N OO N Y N OO
মনোনয়নগুলো   M N OO N Y N G UH L OO
মনোনয়নটা   M N OO N Y N T AA
মনোনয়নপত্র   M N OO N Y N P TT R
মনোনয়নপত্রই   M N OO N Y N P TT R IH
মনোনয়নের   M N OO N Y N EH R
মনোবল   M N OO B AO L
মনোবাঞ্ছা   M N OO B AA N CHS AA
মনোবিজ্ঞান   M N OO B IH G G AA N
মনোবিজ্ঞানী   M N OO B IH G G AA N IH
মনোবৃত্তি   M N OO B R IH TT TT IH
মনোভাব   M N OO BS AA B
মনোভাবের   M N OO BS AA B EH R
মনোযোগ   M N OO JH OO G
মনোযোগী   M N OO JH OO G IH
মনোরঞ্জন   M N OO R N JH N
মনোরম   M N OO R AO M
মনোয়ার   M N OO Y AA R
মন্টানা   M N T AA N AA
মন্টিকার্লো   M N T IH K AA R L OO
মন্টু   M OO N T UH
মন্ট্রিলে   M N T R IH L EH
মন্তব্য   M N TT B B
মন্তব্যগুলো   M N TT B B G UH L OO
মন্তব্যের   M N TT B JH EH R
মন্ত্র   M AO N TT R OO
মন্ত্রণালয়   M N TT R N AA L Y
মন্ত্রণালয়কে   M N TT R N AA L Y K EH
মন্ত্রণালয়সহ   M N TT R N AA L Y SH HH
মন্ত্রণালয়ে   M N TT R N AA L Y EH
মন্ত্রণালয়ের   M N TT R N AA L Y EH R
মন্ত্রিপরিষদ   M N TT R IH P R IH SH DD
মন্ত্রিসভা   M N TT R IH SH BS AA
মন্ত্রিসভায়   M N TT R IH SH BS AAI 
মন্ত্রী   M N TT R IH
মন্ত্রীকে   M N TT R IH K EH
মন্ত্রীবর   M N TT R IH B R
মন্ত্রীর   M N TT R IH R
মন্ত্রীসাংসদের   M N TT R IH SH AA NG SH DD EH R
মন্দ   M N DD OO
মন্দকে   M AO N DD K EH
মন্দাবস্থা   M N DD AA B SH TTS AA
মন্দাভাব   M N DD AA BS AA B
মন্দির   M AO N DD IH R
মন্দিরের   M N DD IH R EH R
মফিজ   M OO PS IH JH
মফিজুল   M PS IH JH UH L
মম   M AO M OO
মমতা   M M TT AA
মমতাজ   M M TT AA JH
মমতাজের   M M TT AA JH EH R
মমতার   M M TT AA R
মমতায়   M M TT AAI 
মমত্ববোধ   M M TT TT B OO DDS
মমন্তরম   M M N TT R M
মমির   M OO M IH R
মম্বন্তরে   M M B N TT R EH
মম্মথপুর   M M M TTS P UH R
মরক্কোর   M R K K OO R
মরগ্যান   M R G G AA N
মরণ   M AO R OO N
মরণব্যাধিতে   M R N B B AA DDS IH TT EH
মরণেও   M R N EH OO
মরতে   M R TT EH
মরব   M OO R B OO
মরবে   M R B EH
মরলে   M R L EH
মরলেচাকরি   M R L EH CH AA K R IH
মরহুমের   M R HH UH M EH R
মরা   M AO R AA
মরাদের   M R AA DD EH R
মরার   M AO R AA R
মরি   M OO R IH
মরিচ   M OO R IH CH
মরিচটুকু   M R IH CH T UH K UH
মরিচহাট   M R IH CH HH AA T
মরিচের   M R IH CH EH R
মরিতে   M R IH TT EH
মরিয়া   M R IH Y AA
মরুভূমি   M R UH BS UH M IH
মরুভূমির   M R UH BS UH M IH R
মরে   M AO R EH
মর্গে   M AO R G EH
মর্জিমতো   M R JH IH M TT OO
মর্ম   M R M OO
মর্মকথা   M R M K TTS AA
মর্মবেদনা   M R M B EH DD N AA
মর্মমূল   M R M M UH L
মর্মস্পর্শী   M R M SH P R SH IH
মর্মান্তিক   M R M AA N TT IH K
মর্মাহত   M R M AA HH TT
মর্মে   M AO R M EH
মর্যাদা   M R R AA DD AA
মর্যাদার   M R JH AA DD AA R
মলাটে   M L AA T EH
মলিন   M OO L IH N
মলেকুলার   M L EH K UH L AA R
মল্টিমিডিয়া   M L T IH M IH D IH Y AA
মল্লিকবাড়ী   M L L IH K B AA RH IH
মল্লিকা   M L L IH K AA
মশা   M AO SH AA
মশার   M AO SH AA R
মশারি   M AO SH AA R IH
মশালচি   M AO SH AA L CH IH
মসজিদ   M AO SH JH IH DD
মসজিদসংলগ্ন   M AO SH JH IH DD SH NG L G N
মসজিদের   M AO SH JH IH DD EH R
মসলা   M AO SH L AA
মসলাতে   M AO SH L AA TT EH
মসলিন   M OO S L IH N
মসালা   M AO S AA L AA
মসুর   M OO SH UH R
মসৃণ   M SH R IH N
মস্কো   M AO SH K OO
মস্ত   M AO S TT OO
মস্তিষ্ক   M AO S TT IH SH K
মস্তিষ্কের   M AO S TT IH SH K EH R
মহতী   M HH TT IH
মহম্মদ   M AO HH OO M M DD
মহযজ্ঞ   M AO HH OO JH AO G G OO
মহল   M AO HH OO L
মহল্লায়   M HH L L AAI 
মহসীনউজ্জামান   M HH SH IH N UH JH JH AA M AA N
মহা   M AO HH AA
মহাকর্ষ   M HH AA K R SH
মহাকাব্য   M HH AA K AA B B
মহাকাশ   M HH AA K AA SH
মহাকাশীয়   M HH AA K AA SH IH Y
মহাকাশে   M HH AA K AA SH EH
মহাকাশেও   M HH AA K AA SH EH OO
মহাখালী   M HH AA KS AA L IH
মহাখালীর   M HH AA KS AA L IH R
মহাখুশি   M HH AA KS UH SH IH
মহাজোট   M HH AA JH OO T
মহাত্মা   M HH AA TT TT AA
মহাথেরো   M HH AA TTS EH R OO
মহাদেশে   M HH AA DD EH SH EH
মহাদেশের   M HH AA DD EH SH EH R
মহাধমনি   M HH AA DDS M N IH
মহাধমনির   M HH AA DDS M N IH R
মহান   M AO HH AA N
মহানগর   M HH AA N G R
মহানগরীর   M HH AA N G R IH R
মহাপরিচালক   M HH AA P R IH CH AA L K
মহাপরিচালকের   M HH AA P R IH CH AA L K EH R
মহাপুলিশ   M HH AA P UH L IH SH
মহাব্যবস্থাপক   M HH AA B B B SH TTS AA P K
মহামূল্য   M HH AA M UH L L
মহামূল্যবান   M HH AA M UH L L B AA N
মহারাজ   M HH AA R AA JH
মহারাষ্ট্র   M HH AA R AA SH T R
মহারাষ্ট্রের   M HH AA R AA SH T R EH R
মহাশূন্যের   M HH AA SH UH N JH EH R
মহাশয়   M HH AA SH AO Y
মহাশয়েরা   M HH AA SH Y EH R AA
মহাসচিব   M HH AA SH CH IH B
মহাসমুদ্র   M HH AA SH M UH DD R
মহাসাগরের   M HH AA SH AA G R EH R
মহাস্থান   M HH AA SH TTS AA N
মহাস্থানগড়   M HH AA SH TTS AA N G RH
মহাসড়ক   M HH AA SH RH K
মহাসড়কের   M HH AA SH RH K EH R
মহিউদ্দিন   M HH IH UH DD DD IH N
মহিম   M OO HH IH M
মহিলা   M HH IH L AA
মহিলাকর্মীকে   M HH IH L AA K R M IH K EH
মহিলাকে   M HH IH L AA K EH
মহিলাটির   M HH IH L AA T IH R
মহিলাদের   M HH IH L AA DD EH R
মহিলার   M HH IH L AA R
মহিলারা   M HH IH L AA R AA
মহিষ   M OO HH IH SH
মহীরহবাঘার   M HH IH R HH B AA GS AA R
মহেশ   M AO HH EH SH
মহোদয়ের   M HH OO DD Y EH R
মহড়া   M HH RH AA
মহয়   M AO HH AO Y
মা   M AA
মাংস   M AA NG SH OO
মাংসখণ্ডটি   M AA NG SH KS N D T IH
মাংসপিণ্ড   M AA NG SH P IH N D
মাংসভোজী   M AA NG SH BS OO JH IH
